ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
,,IDR,S,1,20,3,0.0075,0.0125,0.02,,,0.4,0.4,0.4,,,1284,2155,2895,,,0,0,0,,,,,,,
,,IDR,S,1,23,3,0.0065,0.0175,0.03,,,0.4,0.35,0.3,,,1497,2574,4041,,,0,0,0,,,,,,,
,,IDR,S,1,44,3,0.0075,0.0175,0.03,,,0.4,0.35,0.35,,,882,1388,1747,,,0,0,0,,,,,,,
,,IDR,S,1,454.5,4,0.001,0.003,0.0075,0.0175,,0.5,0.5,0.4,0.35,,62,117,234,234,,0,0,0,0,,,,,,
,,IDR,S,1,198.9,3,0.0015,0.004,0.01,,,0.5,0.5,0.4,,,62,117,234,,,0,0,0,,,,,,,
,,IDR,NS,2,1,3,0.005,0.017,0.028,,,0.6,0.6,0.45,,,683,5868,36399,,,0.8,0.57,0.36,,,lognormal,lognormal,normal,,
,,IDR,NS,2,291.9,4,0.0018,0.0046,0.0105,0.0188,,0.52,0.54,0.4,0.38,,35,62,124,124,,0,0,0,0,,,,,,
,,IDR,NS,2,198.9,4,0.0018,0.0046,0.0105,0.0188,,0.52,0.54,0.4,0.38,,62,117,234,234,,0,0,0,0,,,,,,
,,IDR,NS,2,13,1,0.0188,,,,,0.38,,,,,754,,,,,0,,,,,,,,,
,,IDR,NS,2,50,1,0.0188,,,,,0.38,,,,,347,,,,,0,,,,,,,,,
,,IDR,NS,2,145,1,0.0188,,,,,0.38,,,,,191,,,,,0,,,,,,,,,
,,IDR,NS,2,182,1,0.0188,,,,,0.38,,,,,24,,,,,0,,,,,,,,,
,,PFA,NS,3,28,1,0.8,,,,,0.4,,,,,1035,,,,,0,,,,,,,,,
,,PFA,NS,3,560,3,0.55,1,1.5,,,0.4,0.4,0.4,,,49,69,99,,,0.55,0.52,0.2,,,normal,lognormal,lognormal,,
,,PFA,NS,3,3,1,0.69,,,,,0.4,,,,,5569,,,,,0.65,,,,,normal,,,,
,,PFA,NS,3,66,1,1,,,,,0.4,,,,,583,,,,,0.64,,,,,lognormal,,,,
,,PFA,NS,3,1.483,2,0.55,1.1,,,,0.4,0.4,,,,708,5300,,,,0.76,0.41,,,,lognormal,lognormal,,,
,,PFA,NS,3,1.561,2,0.55,1.1,,,,0.4,0.4,,,,708,5300,,,,0.76,0.41,,,,lognormal,lognormal,,,
,,PFA,NS,3,3,1,0.8,,,,,0.4,,,,,297,,,,,0,,,,,,,,,
,,PFA,NS,3,3,1,0.8,,,,,0.4,,,,,2162,,,,,0,,,,,,,,,
,,PFA,NS,3,20,1,0.4,,,,,0.4,,,,,1913,,,,,0,,,,,,,,,
