ITEM,DEPENDANT ON ITEM,MIN DS|DS0,MIN DS|DS1,MIN DS|DS2,MIN DS|DS3,MIN DS|DS4,MIN DS|DS5
1,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT
2,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT
3,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT,INDEPENDENT
4,1,Undamaged,Undamaged,DS3,DS4,DS4,DS4
5,2,Undamaged,Undamaged,DS3,DS3,DS3,DS3
6,1,Undamaged,Undamaged,DS1,DS2,DS3,DS3
7,2,Undamaged,DS3,DS3,DS4,DS4,DS4
8,2,Undamaged,DS3,DS3,DS4,DS4,DS4
9,2,Undamaged,Undamaged,Undamaged,DS1,DS1,DS1
10,2,Undamaged,Undamaged,Undamaged,DS1,DS1,DS1
11,2,Undamaged,Undamaged,Undamaged,DS1,DS1,DS1
12,2,Undamaged,Undamaged,Undamaged,DS1,DS1,DS1
