ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
1,A101,IDR,S,1,20,3,0.0075,0.0125,0.02,,,0.4,0.4,0.4,,,1284,2155,2895,,,0.1,0.1,0.1,,,,,,,
2,A104,IDR,S,1,23,3,0.0065,0.0175,0.03,,,0.4,0.35,0.3,,,1497,2574,4041,,,0.1,0.1,0.1,,,,,,,
3,A110,IDR,S,1,44,3,0.0075,0.0175,0.03,,,0.4,0.35,0.35,,,882,1388,1747,,,0.1,0.1,0.1,,,,,,,
4,A121,IDR,S,1,454.5,4,0.001,0.003,0.0075,0.0175,,0.5,0.5,0.4,0.35,,62,117,234,234,,0.1,0.1,0.1,0.1,,,,,,
5,A123,IDR,NS,2,198.9,3,0.0015,0.004,0.01,,,0.5,0.5,0.4,,,62,117,234,,,0.1,0.1,0.1,,,,,,,
6,A200,IDR,NS,2,1,3,0.005,0.017,0.028,,,0.6,0.6,0.45,,,683,5868,36399,,,0.1,0.1,0.1,,,,,,,
7,C100,IDR,NS,2,291.9,4,0.0018,0.0046,0.0105,0.0188,,0.52,0.54,0.4,0.38,,35,62,124,124,,0.1,0.1,0.1,0.1,,,,,,
8,C200,IDR,NS,2,198.9,4,0.0018,0.0046,0.0105,0.0188,,0.52,0.54,0.4,0.38,,62,117,234,234,,0.1,0.1,0.1,0.1,,,,,,
9,C300,IDR,NS,2,13,1,0.0188,,,,,0.38,,,,,754,,,,,0.1,,,,,,,,,
10,C400,IDR,NS,2,50,1,0.0188,,,,,0.38,,,,,347,,,,,0.1,,,,,,,,,
11,C500,IDR,NS,2,145,1,0.0188,,,,,0.38,,,,,191,,,,,0.1,,,,,,,,,
12,C600,IDR,NS,2,182,1,0.0188,,,,,0.38,,,,,24,,,,,0.1,,,,,,,,,
